sample-id	Treatment	Sex
#q2:types	categorical	categorical
F116	HMB947	F
F117	HMB947	F
F118	HMB947	F
F119	HMB947	F
F120	HMB947+E	F
F121	HMB947+E	F
F122	HMB947+E	F
F123	HMB947+E	F
F124	HMB976	F
F125	HMB976	F
F126	HMB976	F
F127	HMB976+E	F
F128	HMB976+E	F
F129	HMB976+E	F
F130	HMB976+E	F
M100	HMB947	M
M101	HMB947	M
M102	HMB947	M
M103	HMB947	M
M104	HMB947+E	M
M105	HMB947+E	M
M106	HMB947+E	M
M107	HMB947+E	M
M108	HMB976	M
M109	HMB976	M
M110	HMB976	M
M111	HMB976	M
M112	HMB976+E	M
M113	HMB976+E	M
M114	HMB976+E	M
M115	HMB976+E	M
M147	HMB947	M
M148	HMB947	M
M149	HMB947	M
M150	HMB947	M
M151	HMB947	M
M152	HMB947+E	M
M153	HMB947+E	M
M154	HMB947+E	M
M155	HMB947+E	M
M156	HMB947+E	M
M157	HMB976	M
M158	HMB976	M
M159	HMB976	M
M160	HMB976	M
M161	HMB976+E	M
M162	HMB976+E	M
M163	HMB976+E	M
M164	HMB976+E	M
M165	HMB976+E	M
F131	HMB976	F
F132	HMB976	F
F133	HMB976	F
F134	HMB976	F
F135	HMB976+E	F
F136	HMB976+E	F
F137	HMB976+E	F
F138	HMB976+E	F
F139	HMB947	F
F140	HMB947	F
F141	HMB947	F
F142	HMB947	F
F143	HMB947+E	F
F144	HMB947+E	F
F145	HMB947+E	F
F146	HMB947+E	F
BL_S125	Blank	Blank
BL_S70	Blank	Blank
M100B	HMB947	M
M101B	HMB947	M
M102B	HMB947	M
M103B	HMB947	M
